landmark_name,landmark_address
건국대학교서울캠퍼스_인문학관,서울특별시 광진구 화양동 1
건국대학교서울캠퍼스_인문학관강의동,서울특별시 광진구 화양동 1
건국대학교서울캠퍼스_일감호,서울특별시 광진구 화양동 393-1
건국대학교서울캠퍼스_입학정보관,서울특별시 광진구 화양동 1
건국대학교서울캠퍼스_제1학생회관,서울특별시 광진구 화양동 1
건국대학교서울캠퍼스_제2학생회관,서울특별시 광진구 화양동 1
건국대학교서울캠퍼스_창의관,서울특별시 광진구 화양동 1
건국대학교서울캠퍼스_프론티어홀,서울특별시 광진구 화양동 1
건대맛의거리,서울특별시 광진구 화양동
건대양꼬치골목,서울특별시 광진구 자양동 6-21
건대입구역사거리,서울특별시 광진구 화양동
건설회관,서울특별시 강남구 언주로 711
건영옴니백화점,서울특별시 노원구 섬밭로 258
건영한가람아파트,서울특별시 용산구 이촌로 201
겸재정선미술관,서울특별시 강서구 가양동 243-1
경기고교앞사거리,서울특별시 강남구 청담동
경기대학교서울캠퍼스,서울특별시 서대문구 충정로2가 68-13
경기여고경운박물관(서울),서울특별시 강남구 삼성로 29(개포동) 경기여고 100주년기념관
경남아파트,서울특별시 성북구 정릉로 305
경동고등학교,서울특별시 성북구 보문로29길 49 경동고등학교
경동시장,서울특별시 동대문구 제기동 1019
경리단길,서울특별시 용산구 이태원동
경복궁,서울특별시 종로구 세종로 1-91
경운궁중명전,서울특별시 중구 정동
경의선숲길사랑방,서울특별시 용산구 용문동
경의선책거리,서울특별시 마포구 와우산로37길 35
경인미술관,서울특별시 종로구 인사동10길 11-4(관훈동)
경찰박물관,서울특별시 종로구 신문로2가 58
경찰혼,서울특별시 영등포구 당산동3가 2-11
경춘선숲길,서울특별시 노원구 공릉동 272-2
경향신문사,서울특별시 중구 정동길 3 경향신문사건물
경희궁,서울특별시 종로구 새문안로 45 경희궁
경희궁공원,서울특별시 종로구 신문로2가 1-126
경희궁자이2단지,서울특별시 종로구 홍파동 199
경희궁자이3단지,서울특별시 종로구 경교장길 35
경희대학교서울캠퍼스,서울특별시 동대문구 회기동 1-5
경희대학교서울캠퍼스_간호과학대학,서울특별시 동대문구 회기동 1-5
경희대학교서울캠퍼스_관광대학원,서울특별시 동대문구 회기동 1-5
경희대학교서울캠퍼스_네오르네상스관,서울특별시 동대문구 회기동 1-5
경희대학교서울캠퍼스_무용학관,서울특별시 동대문구 이문동 1-3
경희대학교서울캠퍼스_문과대학,서울특별시 동대문구 이문동 1-5
경희대학교서울캠퍼스_미술대학,서울특별시 동대문구 회기동 1-5
경희대학교서울캠퍼스_법과대학,서울특별시 동대문구 이문동 1-5
경희대학교서울캠퍼스_본관,서울특별시 동대문구 회기동 1-5
경희대학교서울캠퍼스_의과대학,서울특별시 동대문구 회기동 1-5
경희대학교서울캠퍼스_정경대학,서울특별시 동대문구 이문동 1-5
경희대학교서울캠퍼스_치과대학,서울특별시 동대문구 회기동 1-5
경희대학교서울캠퍼스_크라운관,서울특별시 동대문구 이문동 1-3
경희대학교서울캠퍼스_학생회관,서울특별시 동대문구 이문동 1-3
경희대학교서울캠퍼스_한의과대학,서울특별시 동대문구 회기동 1-5
경희대학교자연사박물관,서울특별시 동대문구 경희대로 26(회기동)
경희대학교중앙박물관,서울특별시 동대문구 회기동 1
경희의료원,서울특별시 동대문구 회기동 1-5
경희의료원_통합진료센터,서울특별시 동대문구 회기동 1-5
경희의료원_후마니타스암병원,서울특별시 동대문구 회기동 1-5
고덕 래미안힐스테이트,서울특별시 강동구 아리수로50길 50
고려대학교,서울특별시 성북구 안암로 145
고려대학교구로병원,서울특별시 구로구 구로동 80
고려대학교박물관,서울특별시 성북구 안암동5가 1-2
고려대학교서울캠퍼스_경영본관,서울특별시 성북구 안암동5가 126-28
고려대학교서울캠퍼스_공학관,서울특별시 성북구 안암동5가 126-16
고려대학교서울캠퍼스_국제관,서울특별시 성북구 안암동5가 126-28
고려대학교서울캠퍼스_로봇융합관,서울특별시 성북구 안암동5가 126-16
고려대학교서울캠퍼스_본관,서울특별시 성북구 안암동5가 126-28
고려대학교서울캠퍼스_산학관,서울특별시 성북구 안암동5가 126-16
고려대학교서울캠퍼스_신공학관,서울특별시 성북구 안암동5가 126-16
고려대학교서울캠퍼스_아산이학관,서울특별시 성북구 안암동5가 126-16
고려대학교서울캠퍼스_이학관별관,서울특별시 성북구 안암동5가 126-16
고려대학교서울캠퍼스_창의관,서울특별시 성북구 안암동5가 126-16
고려대학교인촌기념관,서울특별시 성북구 안암동5가 1-2
고용노동부서울관악고용센터,서울특별시 구로구 디지털로34길 27
고척근린공원,서울특별시 구로구 고척로45길 39
고척동대우푸르지오아파트,서울특별시 구로구 고척로 296
고척스카이돔,서울특별시 구로구 경인로 430 고척스카이돔
고척파크푸르지오,서울특별시 구로구 중앙로 121
곰달래도서관,서울특별시 강서구 화곡동 890
공덕삼성래미안4차아파트,서울특별시 마포구 마포대로11길 50
공덕삼성래미안5차아파트,서울특별시 마포구 마포대로 173-15
공덕시장,서울특별시 마포구 공덕동 256-10
공릉동도깨비시장,서울특별시 노원구 공릉1동 566-20
공평도시유적전시관,서울특별시 종로구 공평동 17
공항동문화체육센터,서울특별시 강서구 공항동 60-28
과자박물관스위트팩토리,서울특별시 영등포구 양평로21길 10
